"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Kamar Aiken",3500,"Final",1.300,"IND"
"RB","Devante Mays",3500,"Final",0.000,"GB"
"DST","Panthers ",3500,"Final",15.000,"CAR"
"RB","Wayne Gallman",3500,"Final",0,"NYG"
"WR","Laquon Treadwell",3500,"Final",1.700,"MIN"
"RB","Alvin Kamara",3500,"Final",7.800,"NO"
"WR","Dontrelle Inman",3500,"Final",0,"LAC"
"RB","Devontae Booker",3500,"Final",0,"DEN"
"WR","Jermaine Kearse",3400,"Final",12.900,"NYJ"
"RB","Andre Ellington",3400,"Final",5.500,"ARI"
"DST","Buccaneers ",3400,"Postponed",0,"TB"
"WR","Ryan Grant",3400,"Final",10.100,"WAS"
"RB","Marlon Mack",3400,"Final",11.500,"IND"
"WR","Travis Benjamin",3400,"Final",13.300,"LAC"
"TE","Hunter Henry",3400,"Final",0.000,"LAC"
"DST","Falcons ",3300,"Final",5.000,"ATL"
"WR","Victor Cruz",3300,"Final",0,"CHI"
"WR","John Ross",3300,"Final",0,"CIN"
"WR","Jaron Brown",3300,"Final",0.000,"ARI"
"RB","Dwayne Washington",3300,"Final",2.200,"DET"
"TE","Jared Cook",3300,"Final",10.600,"OAK"
"WR","Seth Roberts",3300,"Final",8.900,"OAK"
"WR","Phillip Dorsett",3300,"Final",0.000,"IND"
"WR","Aldrick Robinson",3300,"Final",1.700,"SF"
"WR","Russell Shepard",3300,"Final",13.300,"CAR"
"WR","Roger Lewis",3300,"Final",9.400,"NYG"
"WR","Brandon Coleman",3300,"Final",3.300,"NO"
"TE","Charles Clay",3200,"Final",15.300,"BUF"
"WR","Kendall Wright",3200,"Final",6.400,"CHI"
"RB","Ryan Mathews",3200,"Final",0,"PHI"
"DST","Rams ",3200,"Final",28.000,"LAR"
"WR","Marquise Goodwin",3200,"Final",5.100,"SF"
"WR","Tavarres King",3200,"Final",0,"NYG"
"RB","Jerick McKinnon",3200,"Final",6.700,"MIN"
"DST","Bengals ",3100,"Final",4.000,"CIN"
"TE","C.J. Fiedorowicz",3100,"Final",8.600,"HOU"
"TE","Cameron Brate",3100,"Postponed",0,"TB"
"WR","Tajae Sharpe",3100,"Final",0,"TEN"
"RB","Elijah Hood",3100,"Final",0,"OAK"
"WR","Brian Quick",3100,"Final",2.100,"WAS"
"WR","Pharoh Cooper",3100,"Final",0.000,"LAR"
"RB","Orleans Darkwa",3100,"Final",2.300,"NYG"
"RB","Mike Tolbert",3000,"Final",12.400,"BUF"
"WR","Brandon Tate",3000,"Final",0.000,"BUF"
"RB","Taiwan Jones",3000,"Final",0.000,"BUF"
"RB","Joe Banyard",3000,"Final",0.000,"BUF"
"RB","Patrick DiMarco",3000,"Final",1.500,"BUF"
"WR","Frankie Hammond Jr.",3000,"Final",0,"NYJ"
"WR","Myles White",3000,"Final",0,"NYJ"
"WR","Quincy Enunwa",3000,"Final",0,"NYJ"
"WR","Kenbrell Thompkins",3000,"Final",0,"NYJ"
"WR","Rod Streater",3000,"Final",0,"BUF"
"RB","Marcus Murphy",3000,"Final",0,"NYJ"
"WR","Walter Powell",3000,"Final",0,"BUF"
"WR","Kaelin Clay",3000,"Final",0,"BUF"
"WR","Andre Holmes",3000,"Final",7.100,"BUF"
"RB","Algernon Brown",3000,"Final",0,"NYJ"
"WR","Marquess Wilson",3000,"Final",0,"NYJ"
"WR","Philly Brown",3000,"Final",0,"BUF"
"WR","Rashad Ross",3000,"Final",0,"BUF"
"WR","Dezmin Lewis",3000,"Final",0,"BUF"
"WR","Deshon Foxx",3000,"Final",0,"NYJ"
"RB","Romar Morris",3000,"Final",0,"NYJ"
"WR","Jeremy Butler",3000,"Final",0,"BUF"
"WR","Brandon Reilly",3000,"Final",0,"BUF"
"WR","Gabe Marks",3000,"Final",0,"NYJ"
"WR","Chris Harper",3000,"Final",0,"NYJ"
"WR","Kalif Raymond",3000,"Final",0.000,"NYJ"
"RB","Jordan Johnson",3000,"Final",0,"BUF"
"WR","Daikiel Shorts",3000,"Final",0,"BUF"
"WR","Jalin Marshall",3000,"Final",0,"NYJ"
"WR","Lucky Whitehead",3000,"Final",0,"NYJ"
"WR","Damore'ea Stringfellow",3000,"Final",0,"NYJ"
"RB","Jahad Thomas",3000,"Final",0,"NYJ"
"WR","Dan Williams",3000,"Final",0,"NYJ"
"RB","Anthony Firkser",3000,"Final",0,"NYJ"
"WR","Chad Hansen",3000,"Final",0.000,"NYJ"
"RB","Julian Howsare",3000,"Final",0,"NYJ"
"RB","Cedric O'Neal",3000,"Final",0,"BUF"
"WR","Andre Roberts",3000,"Final",0.000,"ATL"
"WR","Deonte Thompson",3000,"Final",2.500,"CHI"
"RB","Derrick Coleman",3000,"Final",0.000,"ATL"
"WR","B.J. Daniels",3000,"Final",0,"ATL"
"WR","Rueben Randle",3000,"Final",0,"CHI"
"WR","Nick Williams",3000,"Final",0,"ATL"
"WR","Josh Bellamy",3000,"Final",5.700,"CHI"
"RB","Michael Burton",3000,"Final",0.700,"CHI"
"WR","Justin Hardy",3000,"Final",0.000,"ATL"
"RB","Terron Ward",3000,"Final",0.000,"ATL"
"WR","Titus Davis",3000,"Final",0,"CHI"
"RB","Ka'Deem Carey",3000,"Final",0,"CHI"
"WR","Tre McBride",3000,"Final",0,"CHI"
"WR","Marvin Hall",3000,"Final",0,"ATL"
"RB","Jhurell Pressley",3000,"Final",0,"ATL"
"WR","Daniel Braverman",3000,"Final",0,"CHI"
"WR","Alton Howard",3000,"Final",0,"CHI"
"RB","Josh Rounds",3000,"Final",0,"CHI"
"WR","Josh Magee",3000,"Final",0,"ATL"
"WR","Deante Burton",3000,"Final",0,"ATL"
"WR","Reginald Davis III",3000,"Final",0,"ATL"
"RB","Kelvin Taylor",3000,"Final",0,"ATL"
"WR","Bra'Lon Cherry",3000,"Final",0,"ATL"
"WR","Tanner Gentry",3000,"Final",0,"CHI"
"RB","Freddie Stevenson",3000,"Final",0,"CHI"
"TE","Austin Hooper",3000,"Final",23.800,"ATL"
"RB","Taquan Mizzell",3000,"Final",0,"CHI"
"RB","Tyler Renew",3000,"Final",0,"ATL"
"RB","Tarik Cohen",3000,"Final",25.300,"CHI"
"RB","Brian Hill",3000,"Final",0,"ATL"
"WR","Anthony Dable",3000,"Final",0,"ATL"
"RB","Cedric Peerman",3000,"Final",0,"CIN"
"RB","Bobby Rainey",3000,"Final",0,"BAL"
"WR","Griff Whalen",3000,"Final",0,"BAL"
"WR","Michael Campanaro",3000,"Final",0.200,"BAL"
"WR","Chris Matthews",3000,"Final",0.000,"BAL"
"WR","Kenny Bell",3000,"Final",0,"BAL"
"WR","Jake Kumerow",3000,"Final",0,"CIN"
"RB","Javorius Allen",3000,"Final",7.100,"BAL"
"WR","Chris Moore",3000,"Final",0.000,"BAL"
"RB","Tra Carson",3000,"Final",0,"CIN"
"WR","Alex Erickson",3000,"Final",0.000,"CIN"
"RB","Kenneth Dixon",3000,"Final",0,"BAL"
"WR","Cody Core",3000,"Final",0.000,"CIN"
"RB","Ricky Ortiz",3000,"Final",0,"BAL"
"WR","C.J. Board",3000,"Final",0,"BAL"
"WR","Keenan Reynolds",3000,"Final",0,"BAL"
"WR","Alonzo Russell",3000,"Final",0,"CIN"
"WR","Chris Brown",3000,"Final",0,"CIN"
"RB","Lorenzo Taliaferro",3000,"Final",0,"BAL"
"RB","Darrin Laufasa",3000,"Final",0,"CIN"
"WR","Kermit Whitfield",3000,"Final",0,"CIN"
"RB","Jarveon Williams",3000,"Final",0,"CIN"
"WR","Quincy Adeboyejo",3000,"Final",0,"BAL"
"WR","Vince Mayle",3000,"Final",0.000,"BAL"
"WR","Josh Malone",3000,"Final",0,"CIN"
"WR","Tim White",3000,"Final",0,"BAL"
"RB","DeAngelo Williams",3000,"Final",0,"PIT"
"WR","Darrius Heyward-Bey",3000,"Final",0.000,"PIT"
"WR","Josh Boyce",3000,"Final",0,"CLE"
"RB","Knile Davis",3000,"Final",0,"PIT"
"WR","Cobi Hamilton",3000,"Final",0,"PIT"
"RB","Roosevelt Nix",3000,"Final",0.000,"PIT"
"WR","Jordan Leslie",3000,"Final",0,"CLE"
"RB","Terrence Magee",3000,"Final",0,"CLE"
"RB","Brandon Wilds",3000,"Final",0,"CLE"
"WR","Richard Mullaney",3000,"Final",0,"CLE"
"WR","Kasen Williams",3000,"Final",0.000,"CLE"
"WR","Rannell Hall",3000,"Final",0,"CLE"
"RB","Terrell Watson",3000,"Final",0.000,"PIT"
"TE","Jesse James",3000,"Final",22.100,"PIT"
"RB","Trey Williams",3000,"Final",0,"PIT"
"WR","Jordan Payton",3000,"Final",0,"CLE"
"WR","Justin Thomas",3000,"Final",0,"PIT"
"RB","Danny Vitale",3000,"Final",0.000,"CLE"
"WR","Ricardo Louis",3000,"Final",5.200,"CLE"
"WR","Reggie Davis",3000,"Final",0,"CLE"
"WR","Demarcus Ayers",3000,"Final",0,"PIT"
"WR","Rashard Higgins",3000,"Final",0,"CLE"
"RB","Matthew Dayes",3000,"Final",3.600,"CLE"
"WR","Mario Alford",3000,"Final",0,"CLE"
"WR","Rasheed Bailey",3000,"Final",0,"CLE"
"WR","Marcus Tucker",3000,"Final",0,"PIT"
"WR","Jeremy Ross",3000,"Final",0,"ARI"
"RB","Matt Asiata",3000,"Final",0,"DET"
"WR","Keshawn Martin",3000,"Final",0,"DET"
"RB","Mike James",3000,"Final",0,"DET"
"WR","Ryan Spadola",3000,"Final",0,"DET"
"WR","Jared Abbrederis",3000,"Final",0,"DET"
"WR","Aaron Dobson",3000,"Final",0,"ARI"
"WR","TJ Jones",3000,"Final",5.200,"DET"
"RB","Elijhaa Penny",3000,"Final",0.000,"ARI"
"WR","Brittan Golden",3000,"Final",0.000,"ARI"
"RB","Tion Green",3000,"Final",0,"DET"
"WR","Michael Rector",3000,"Final",0,"DET"
"WR","Dontez Ford",3000,"Final",0,"DET"
"WR","Carlton Agudosi",3000,"Final",0,"ARI"
"WR","Chris Hubert",3000,"Final",0,"ARI"
"RB","T.J. Logan",3000,"Final",0,"ARI"
"WR","Noel Thomas",3000,"Final",0,"DET"
"WR","Jace Billingsley",3000,"Final",0,"DET"
"WR","Chad Williams",3000,"Final",0,"ARI"
"RB","James Summers",3000,"Final",0,"ARI"
"WR","Dez Stewart",3000,"Final",0,"DET"
"WR","Krishawn Hogan",3000,"Final",0,"ARI"
"WR","Arrelious Benn",3000,"Final",2.200,"JAX"
"RB","DuJuan Harris",3000,"Final",0,"JAX"
"RB","Jonathan Grimes",3000,"Final",0,"JAX"
"RB","Jordan Todman",3000,"Final",0.000,"HOU"
"RB","Tommy Bohanon",3000,"Final",7.100,"JAX"
"RB","Tyler Gaffney",3000,"Final",0,"JAX"
"WR","Devin Street",3000,"Final",0,"HOU"
"RB","Jay Prosch",3000,"Final",0.000,"HOU"
"WR","Dres Anderson",3000,"Final",0,"HOU"
"WR","Larry Pinkard",3000,"Final",0,"JAX"
"RB","Corey Grant",3000,"Final",0.000,"JAX"
"WR","DeAndrew White",3000,"Final",0,"HOU"
"RB","Tyler Ervin",3000,"Final",6.600,"HOU"
"WR","Jamal Robinson",3000,"Final",0,"JAX"
"WR","Bruce Ellington",3000,"Final",0.000,"HOU"
"WR","Rashad Greene Sr.",3000,"Final",0,"JAX"
"WR","Marcus Leak",3000,"Final",0,"HOU"
"RB","Akeem Hunt",3000,"Final",0,"HOU"
"WR","Shane Wynn",3000,"Final",0,"JAX"
"WR","Germone Hopper",3000,"Final",0,"HOU"
"WR","Kenneth Walker III",3000,"Final",0,"JAX"
"WR","Justin Hardee",3000,"Final",0,"HOU"
"RB","I'Tavius Mathers",3000,"Final",0,"JAX"
"WR","Amba Etta-Tawo",3000,"Final",0,"JAX"
"WR","Riley McCarron",3000,"Final",0,"HOU"
"RB","Dare Ogunbowale",3000,"Final",0,"HOU"
"WR","Andy Jones",3000,"Final",0.000,"HOU"
"WR","Chris Thompson",3000,"Final",0,"HOU"
"RB","Marquez Williams",3000,"Final",0,"JAX"
"WR","Keelan Cole",3000,"Final",0.000,"JAX"
"WR","Dede Westbrook",3000,"Final",0,"JAX"
"RB","Tim Cook",3000,"Final",0,"JAX"
"WR","Wendall Williams",3000,"Final",0,"HOU"
"WR","Vincent Jackson",3000,"Postponed",0,"TB"
"RB","Austin Johnson",3000,"Postponed",0,"TB"
"WR","Mitch Mathews",3000,"Postponed",0,"MIA"
"RB","Storm Johnson",3000,"Postponed",0,"MIA"
"WR","Rashad Lawrence",3000,"Postponed",0,"MIA"
"RB","Senorise Perry",3000,"Postponed",0,"MIA"
"WR","Josh Huff",3000,"Postponed",0,"TB"
"RB","Blake Sims",3000,"Postponed",0,"TB"
"WR","Bernard Reedy",3000,"Postponed",0,"TB"
"WR","Freddie Martino",3000,"Postponed",0,"TB"
"WR","Shaq Hill",3000,"Postponed",0,"TB"
"WR","Rashawn Scott",3000,"Postponed",0,"MIA"
"WR","Jakeem Grant",3000,"Postponed",0,"MIA"
"WR","Trey Griffey",3000,"Postponed",0,"MIA"
"WR","Jordan Westerkamp",3000,"Postponed",0,"MIA"
"WR","Derel Walker",3000,"Postponed",0,"TB"
"RB","Russell Hansbrough",3000,"Postponed",0,"TB"
"WR","Malcolm Lewis",3000,"Postponed",0,"MIA"
"RB","Quayvon Hicks",3000,"Postponed",0,"TB"
"WR","Leonte Carroo",3000,"Postponed",0,"MIA"
"TE","O.J. Howard",3000,"Postponed",0,"TB"
"WR","Francis Owusu",3000,"Postponed",0,"MIA"
"RB","De'Veon Smith",3000,"Postponed",0,"MIA"
"WR","Bobo Wilson",3000,"Postponed",0,"TB"
"WR","Drew Morgan",3000,"Postponed",0,"MIA"
"RB","Peyton Barber",3000,"Postponed",0,"TB"
"WR","Chris Godwin",3000,"Postponed",0,"TB"
"WR","Isaiah Ford",3000,"Postponed",0,"MIA"
"WR","Donteea Dye",3000,"Postponed",0,"TB"
"WR","Harry Douglas",3000,"Final",0,"TEN"
"WR","Eric Weems",3000,"Final",0.000,"TEN"
"RB","Jalston Fowler",3000,"Final",0.000,"TEN"
"WR","Jonathan Krause",3000,"Final",0,"TEN"
"RB","David Fluellen",3000,"Final",0.000,"TEN"
"RB","Jamize Olawale",3000,"Final",0,"OAK"
"WR","K.J. Brent",3000,"Final",0,"OAK"
"WR","Darius Jennings",3000,"Final",0,"TEN"
"RB","George Atkinson III",3000,"Final",0,"OAK"
"WR","KeVonn Mabon",3000,"Final",0,"TEN"
"WR","Cordarrelle Patterson",3000,"Final",1.700,"OAK"
"RB","Brandon Radcliff",3000,"Final",0,"TEN"
"WR","Keon Hatcher",3000,"Final",0,"OAK"
"WR","Mekale McKay",3000,"Final",0,"TEN"
"RB","Joe Bacci",3000,"Final",0,"TEN"
"WR","Jaydon Mickens",3000,"Final",0,"OAK"
"RB","John Crockett",3000,"Final",0,"OAK"
"RB","Khalfani Muhammad",3000,"Final",0,"TEN"
"WR","Johnny Holton",3000,"Final",0.000,"OAK"
"WR","Giovanni Pascascio",3000,"Final",0,"TEN"
"RB","Akeem Judd",3000,"Final",0,"TEN"
"WR","Ishmael Zamora",3000,"Final",0,"OAK"
"WR","Isaac Whitney",3000,"Final",0,"OAK"
"DST","Redskins ",3000,"Final",12.000,"WAS"
"TE","Vernon Davis",3000,"Final",0.000,"WAS"
"RB","Mack Brown",3000,"Final",0,"WAS"
"RB","Kenny Hilliard",3000,"Final",0,"WAS"
"WR","Paul Turner",3000,"Final",0,"PHI"
"WR","Kendal Thompson",3000,"Final",0,"WAS"
"WR","David Watford",3000,"Final",0,"PHI"
"WR","Maurice Harris",3000,"Final",0,"WAS"
"WR","Levern Jacobs",3000,"Final",0,"WAS"
"WR","Zach Pascal",3000,"Final",0,"WAS"
"RB","Byron Marshall",3000,"Final",0,"PHI"
"WR","Bryce Treggs",3000,"Final",0,"PHI"
"WR","Marcus Johnson",3000,"Final",0.000,"PHI"
"WR","Mack Hollins",3000,"Final",0.000,"PHI"
"WR","Shelton Gibson",3000,"Final",0,"PHI"
"WR","Greg Ward Jr.",3000,"Final",0,"PHI"
"WR","James Quick",3000,"Final",0,"WAS"
"RB","Corey Clement",3000,"Final",0.000,"PHI"
"WR","Robert Davis",3000,"Final",0,"WAS"
"WR","Rashard Davis",3000,"Final",0,"PHI"
"WR","Jamari Staples",3000,"Final",0,"WAS"
"RB","Lance Dunbar",3000,"Final",0,"LAR"
"RB","Christine Michael",3000,"Final",0,"IND"
"WR","Matt Hazel",3000,"Final",1.100,"IND"
"RB","Aaron Green",3000,"Final",0,"LAR"
"WR","Quan Bray",3000,"Final",0.000,"IND"
"WR","Chris Briggs",3000,"Final",0,"IND"
"RB","Josh Ferguson",3000,"Final",0,"IND"
"WR","Valdez Showers",3000,"Final",0,"IND"
"WR","Nelson Spruce",3000,"Final",0,"LAR"
"RB","Daryl Richardson",3000,"Final",0,"IND"
"RB","Dalton Crossan",3000,"Final",0,"IND"
"WR","Fred Brown",3000,"Final",0,"IND"
"WR","Marvin Bracy",3000,"Final",0,"IND"
"WR","Tevaun Smith",3000,"Final",0,"IND"
"WR","Paul McRoberts",3000,"Final",0,"LAR"
"WR","Brandon Shippen",3000,"Final",0,"LAR"
"WR","JoJo Natson Jr.",3000,"Final",0,"IND"
"RB","Matt Jones",3000,"Final",0,"IND"
"RB","Lenard Tillery",3000,"Final",0,"LAR"
"RB","Troymaine Pope",3000,"Final",0,"IND"
"WR","Chester Rogers",3000,"Final",0,"IND"
"RB","Justin Davis",3000,"Final",0.100,"LAR"
"WR","Bug Howard",3000,"Final",0,"IND"
"RB","Sam Rogers",3000,"Final",0,"LAR"
"RB","De'Mard Llorens",3000,"Final",0,"IND"
"WR","Shakeir Ryan",3000,"Final",0,"LAR"
"WR","Brian Riley",3000,"Final",0,"IND"
